,configuration_specification,evaluation,flow_id,strategy_name,task_id
0,8,1.0,8654,greedy__1,9968
0,8,0.8081249999999999,8654,greedy__8,9954
0,8,0.748632946001367,8654,greedy__8,37
0,8,0.856521739130435,8654,greedy__8,125923
0,8,0.9055555555555557,8654,greedy__8,9980
0,8,0.6,8654,greedy__8,125920
0,8,0.623125,8654,greedy__8,9955
0,8,0.7682072829131653,8654,greedy__8,53
0,8,0.8314814814814815,8654,greedy__8,14968
0,8,0.8048860062893081,8654,greedy__8,9956
0,8,0.9832168302191155,8654,greedy__8,21
0,8,0.8332728592162555,8654,greedy__8,3913
0,8,1.0,8654,greedy__8,24
0,8,0.8635399820305482,8654,greedy__8,9957
0,8,1.0,8654,greedy__8,14967
0,8,0.9485416666666666,8654,greedy__8,9964
0,8,1.0,8654,greedy__8,9979
0,8,0.8791288566243194,8654,greedy__8,9950
0,8,0.952405922852023,8654,greedy__8,43
0,8,0.9676499999999999,8654,greedy__8,6
0,8,0.9962431426332289,8654,greedy__8,3
0,8,0.9356564364876385,8654,greedy__8,41
0,8,0.8576036866359447,8654,greedy__8,11
0,8,0.9979166666666666,8654,greedy__8,49
0,8,0.8394999999999999,8654,greedy__8,14
0,8,0.9525334894802111,8654,greedy__8,14964
0,8,0.9174679947970151,8654,greedy__8,9952
0,8,0.9887845781466114,8654,greedy__8,3485
0,8,0.9493506493506493,8654,greedy__8,3492
0,8,1.0,8654,greedy__8,9967
0,8,0.9765132020586261,8654,greedy__8,34536
0,8,0.92648,8654,greedy__8,3946
0,8,0.9963353160600867,8654,greedy__8,9960
0,8,0.9514480806211048,8654,greedy__8,34539
0,8,0.9861471861471861,8654,greedy__8,36
0,8,1.0,8654,greedy__8,3493
0,8,0.75,8654,greedy__8,31
0,8,0.6941175565755633,8654,greedy__8,14969
0,8,0.9683333333333332,8654,greedy__8,3512
0,8,0.9887272727272729,8654,greedy__8,125922
0,8,1.0,8654,greedy__8,3567
0,8,0.6710662717512033,8654,greedy__8,2079
0,8,0.9838821586845302,8654,greedy__8,9914
0,8,0.9891558441558441,8654,greedy__8,3494
0,8,0.8365384615384615,8654,greedy__8,9976
0,8,0.23837025316455693,8654,greedy__8,3560
0,8,0.7807747747747747,8654,greedy__8,10101
0,8,0.9955536252026871,8654,greedy__8,3889
0,8,0.9508999999999999,8654,greedy__8,3948
0,8,0.8515999999999998,8654,greedy__8,58
0,8,0.5485842985842987,8654,greedy__8,23
0,8,0.9745248208465107,8654,greedy__8,9977
0,8,0.6947761194029851,8654,greedy__8,3561
0,8,0.9888615216201423,8654,greedy__8,3021
0,8,0.9563959382508805,8654,greedy__8,3481
0,8,0.8608695652173914,8654,greedy__8,29
0,8,0.9423827456350565,8654,greedy__8,9978
0,8,0.6057545222125948,8654,greedy__8,9985
0,8,0.8688213388536739,8654,greedy__8,146607
0,8,0.922706065318818,8654,greedy__8,2074
0,8,0.9992753623188406,8654,greedy__8,10093
0,8,0.9818181818181817,8654,greedy__8,3022
0,8,0.9620689655172413,8654,greedy__8,45
0,8,0.6982758620689655,8654,greedy__8,9971
0,8,1.0,8654,greedy__8,34538
0,8,0.995470884255931,8654,greedy__8,9986
0,8,0.9063060330478017,8654,greedy__8,14965
0,8,0.8899640699003758,8654,greedy__8,3903
0,8,0.958957239278783,8654,greedy__8,3899
0,8,0.9278624078624078,8654,greedy__8,3918
0,8,0.9709999999999999,8654,greedy__8,16
0,8,0.8124012518230433,8654,greedy__8,3904
0,8,0.9897594389594486,8654,greedy__8,3510
0,8,0.9953606584498305,8654,greedy__8,32
